seqno,configno,hitno,qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qhits
5,3,2,gi|119209335|gb|DB659766.1|DB659766,NC_001137.3,100.0000,83,0,0,347,429,52906,52824,0.0000000000,160.0000000000,q
9,3,2,gi|119209331|gb|DB659760.1|DB659760,NC_001148.4,100.0000,63,0,0,621,683,674300,674362,0.0000000000,121.0000000000,q
10,3,2,gi|119209330|gb|DB659768.1|DB659768,NC_001133.9,100.0000,128,0,0,1,128,87261,87388,0.0000000000,246.0000000000,q
1,3,3,gi|119209343|gb|DB659769.1|DB659769,NC_001140.6,97.2220,36,1,0,576,611,210222,210257,0.0000000001,66.1000000000,nq
4,3,3,gi|119209336|gb|DB659764.1|DB659764,NC_001143.9,96.6290,89,3,0,556,644,326941,326853,0.0000000000,160.0000000000,nq
5,3,3,gi|119209335|gb|DB659766.1|DB659766,NC_001137.3,100.0000,62,0,0,257,318,52996,52935,0.0000000000,119.0000000000,q
1,4,1,gi|119209343|gb|DB659769.1|DB659769,NC_001140.6,99.0550,635,6,0,1,635,209647,210281,0.0000000000,1188.0000000000,q
2,4,1,gi|119209340|gb|DB659771.1|DB659771,NC_001138.5,100.0000,283,0,0,23,305,223440,223158,0.0000000000,544.0000000000,q
3,4,1,gi|119209337|gb|DB659765.1|DB659765,NC_001144.5,100.0000,690,0,0,1,690,934244,933555,0.0000000000,1327.0000000000,q
4,4,1,gi|119209336|gb|DB659764.1|DB659764,NC_001143.9,100.0000,469,0,0,1,469,327496,327028,0.0000000000,902.0000000000,q
5,4,1,gi|119209335|gb|DB659766.1|DB659766,NC_001136.10,100.0000,629,0,0,1,629,1301582,1302210,0.0000000000,1210.0000000000,q
6,4,1,gi|119209334|gb|DB659763.1|DB659763,NC_001136.10,100.0000,302,0,0,1,302,221819,221518,0.0000000000,581.0000000000,q
7,4,1,gi|119209333|gb|DB659759.1|DB659759,NC_001145.3,100.0000,665,0,0,1,665,220103,220767,0.0000000000,1279.0000000000,q
8,4,1,gi|119209332|gb|DB659761.1|DB659761,NC_001135.5,99.8570,698,1,0,1,698,137698,138395,0.0000000000,1338.0000000000,q
9,4,1,gi|119209331|gb|DB659760.1|DB659760,NC_001148.4,100.0000,596,0,0,1,596,673682,674277,0.0000000000,1146.0000000000,q
10,4,1,gi|119209330|gb|DB659768.1|DB659768,NC_001133.9,100.0000,394,0,0,128,521,87501,87894,0.0000000000,758.0000000000,q
4,4,2,gi|119209336|gb|DB659764.1|DB659764,NC_001143.9,95.9020,122,5,0,556,677,326941,326820,0.0000000000,212.0000000000,nq
5,4,2,gi|119209335|gb|DB659766.1|DB659766,NC_001137.3,91.9030,494,40,0,35,528,53218,52725,0.0000000000,719.0000000000,nq
9,4,2,gi|119209331|gb|DB659760.1|DB659760,NC_001148.4,100.0000,63,0,0,621,683,674300,674362,0.0000000000,121.0000000000,q
10,4,2,gi|119209330|gb|DB659768.1|DB659768,NC_001133.9,100.0000,128,0,0,1,128,87261,87388,0.0000000000,246.0000000000,q
4,4,3,gi|119209336|gb|DB659764.1|DB659764,NC_001143.9,100.0000,88,0,0,467,554,327029,326942,0.0000000000,169.0000000000,q
1,5,1,gi|119209343|gb|DB659769.1|DB659769,NC_001140.6,99.0550,635,6,0,1,635,209647,210281,0.0000000000,1188.0000000000,q
2,5,1,gi|119209340|gb|DB659771.1|DB659771,NC_001138.5,100.0000,283,0,0,23,305,223440,223158,0.0000000000,544.0000000000,q
3,5,1,gi|119209337|gb|DB659765.1|DB659765,NC_001144.5,100.0000,690,0,0,1,690,934244,933555,0.0000000000,1327.0000000000,q
4,5,1,gi|119209336|gb|DB659764.1|DB659764,NC_001143.9,100.0000,469,0,0,1,469,327496,327028,0.0000000000,902.0000000000,q
5,5,1,gi|119209335|gb|DB659766.1|DB659766,NC_001136.10,100.0000,629,0,0,1,629,1301582,1302210,0.0000000000,1210.0000000000,q
6,5,1,gi|119209334|gb|DB659763.1|DB659763,NC_001136.10,100.0000,302,0,0,1,302,221819,221518,0.0000000000,581.0000000000,q
7,5,1,gi|119209333|gb|DB659759.1|DB659759,NC_001145.3,100.0000,665,0,0,1,665,220103,220767,0.0000000000,1279.0000000000,q
8,5,1,gi|119209332|gb|DB659761.1|DB659761,NC_001135.5,99.8570,698,1,0,1,698,137698,138395,0.0000000000,1338.0000000000,q
9,5,1,gi|119209331|gb|DB659760.1|DB659760,NC_001148.4,100.0000,596,0,0,1,596,673682,674277,0.0000000000,1146.0000000000,q
10,5,1,gi|119209330|gb|DB659768.1|DB659768,NC_001133.9,100.0000,394,0,0,128,521,87501,87894,0.0000000000,758.0000000000,q
4,5,2,gi|119209336|gb|DB659764.1|DB659764,NC_001143.9,95.9020,122,5,0,556,677,326941,326820,0.0000000000,212.0000000000,nq
5,5,2,gi|119209335|gb|DB659766.1|DB659766,NC_001137.3,91.9030,494,40,0,35,528,53218,52725,0.0000000000,719.0000000000,nq
9,5,2,gi|119209331|gb|DB659760.1|DB659760,NC_001148.4,100.0000,63,0,0,621,683,674300,674362,0.0000000000,121.0000000000,q
10,5,2,gi|119209330|gb|DB659768.1|DB659768,NC_001133.9,100.0000,128,0,0,1,128,87261,87388,0.0000000000,246.0000000000,q
4,5,3,gi|119209336|gb|DB659764.1|DB659764,NC_001143.9,100.0000,88,0,0,467,554,327029,326942,0.0000000000,169.0000000000,q
1,6,1,gi|119209343|gb|DB659769.1|DB659769,NC_001140.6,99.0550,635,6,0,1,635,209647,210281,0.0000000000,1188.0000000000,q
2,6,1,gi|119209340|gb|DB659771.1|DB659771,NC_001138.5,100.0000,283,0,0,23,305,223440,223158,0.0000000000,544.0000000000,q
3,6,1,gi|119209337|gb|DB659765.1|DB659765,NC_001144.5,100.0000,690,0,0,1,690,934244,933555,0.0000000000,1327.0000000000,q
4,6,1,gi|119209336|gb|DB659764.1|DB659764,NC_001143.9,100.0000,469,0,0,1,469,327496,327028,0.0000000000,902.0000000000,q
5,6,1,gi|119209335|gb|DB659766.1|DB659766,NC_001136.10,100.0000,629,0,0,1,629,1301582,1302210,0.0000000000,1210.0000000000,q
6,6,1,gi|119209334|gb|DB659763.1|DB659763,NC_001136.10,100.0000,302,0,0,1,302,221819,221518,0.0000000000,581.0000000000,q
7,6,1,gi|119209333|gb|DB659759.1|DB659759,NC_001145.3,100.0000,665,0,0,1,665,220103,220767,0.0000000000,1279.0000000000,q
8,6,1,gi|119209332|gb|DB659761.1|DB659761,NC_001135.5,99.8570,698,1,0,1,698,137698,138395,0.0000000000,1338.0000000000,q
9,6,1,gi|119209331|gb|DB659760.1|DB659760,NC_001148.4,100.0000,596,0,0,1,596,673682,674277,0.0000000000,1146.0000000000,q
10,6,1,gi|119209330|gb|DB659768.1|DB659768,NC_001133.9,100.0000,394,0,0,128,521,87501,87894,0.0000000000,758.0000000000,q
4,6,2,gi|119209336|gb|DB659764.1|DB659764,NC_001143.9,95.9020,122,5,0,556,677,326941,326820,0.0000000000,212.0000000000,nq
5,6,2,gi|119209335|gb|DB659766.1|DB659766,NC_001137.3,91.9030,494,40,0,35,528,53218,52725,0.0000000000,719.0000000000,nq
9,6,2,gi|119209331|gb|DB659760.1|DB659760,NC_001148.4,100.0000,63,0,0,621,683,674300,674362,0.0000000000,121.0000000000,q
10,6,2,gi|119209330|gb|DB659768.1|DB659768,NC_001133.9,100.0000,128,0,0,1,128,87261,87388,0.0000000000,246.0000000000,q
4,6,3,gi|119209336|gb|DB659764.1|DB659764,NC_001143.9,100.0000,88,0,0,467,554,327029,326942,0.0000000000,169.0000000000,q
1,7,1,gi|119209343|gb|DB659769.1|DB659769,NC_001140.6,100.0000,392,0,0,1,392,209647,210038,0.0000000000,754.0000000000,q
2,7,1,gi|119209340|gb|DB659771.1|DB659771,NC_001138.5,100.0000,283,0,0,23,305,223440,223158,0.0000000000,544.0000000000,q
3,7,1,gi|119209337|gb|DB659765.1|DB659765,NC_001144.5,100.0000,690,0,0,1,690,934244,933555,0.0000000000,1327.0000000000,q
4,7,1,gi|119209336|gb|DB659764.1|DB659764,NC_001143.9,100.0000,469,0,0,1,469,327496,327028,0.0000000000,902.0000000000,q
5,7,1,gi|119209335|gb|DB659766.1|DB659766,NC_001136.10,100.0000,629,0,0,1,629,1301582,1302210,0.0000000000,1210.0000000000,q
6,7,1,gi|119209334|gb|DB659763.1|DB659763,NC_001136.10,100.0000,302,0,0,1,302,221819,221518,0.0000000000,581.0000000000,q
7,7,1,gi|119209333|gb|DB659759.1|DB659759,NC_001145.3,100.0000,665,0,0,1,665,220103,220767,0.0000000000,1279.0000000000,q
8,7,1,gi|119209332|gb|DB659761.1|DB659761,NC_001135.5,99.8570,698,1,0,1,698,137698,138395,0.0000000000,1338.0000000000,q
9,7,1,gi|119209331|gb|DB659760.1|DB659760,NC_001148.4,100.0000,596,0,0,1,596,673682,674277,0.0000000000,1146.0000000000,q
10,7,1,gi|119209330|gb|DB659768.1|DB659768,NC_001133.9,100.0000,394,0,0,128,521,87501,87894,0.0000000000,758.0000000000,q
1,7,2,gi|119209343|gb|DB659769.1|DB659769,NC_001140.6,100.0000,179,0,0,394,572,210040,210218,0.0000000000,344.0000000000,q
4,7,2,gi|119209336|gb|DB659764.1|DB659764,NC_001143.9,100.0000,88,0,0,467,554,327029,326942,0.0000000000,169.0000000000,q
5,7,2,gi|119209335|gb|DB659766.1|DB659766,NC_001137.3,100.0000,83,0,0,347,429,52906,52824,0.0000000000,160.0000000000,q
9,7,2,gi|119209331|gb|DB659760.1|DB659760,NC_001148.4,100.0000,63,0,0,621,683,674300,674362,0.0000000000,121.0000000000,q
10,7,2,gi|119209330|gb|DB659768.1|DB659768,NC_001133.9,100.0000,128,0,0,1,128,87261,87388,0.0000000000,246.0000000000,q
1,7,3,gi|119209343|gb|DB659769.1|DB659769,NC_001140.6,97.2220,36,1,0,576,611,210222,210257,0.0000000001,66.1000000000,nq
4,7,3,gi|119209336|gb|DB659764.1|DB659764,NC_001143.9,96.6290,89,3,0,556,644,326941,326853,0.0000000000,160.0000000000,nq
5,7,3,gi|119209335|gb|DB659766.1|DB659766,NC_001137.3,100.0000,62,0,0,257,318,52996,52935,0.0000000000,119.0000000000,q
1,8,1,gi|119209343|gb|DB659769.1|DB659769,NC_001140.6,100.0000,392,0,0,1,392,209647,210038,0.0000000000,754.0000000000,q
2,8,1,gi|119209340|gb|DB659771.1|DB659771,NC_001138.5,100.0000,283,0,0,23,305,223440,223158,0.0000000000,544.0000000000,q
3,8,1,gi|119209337|gb|DB659765.1|DB659765,NC_001144.5,100.0000,690,0,0,1,690,934244,933555,0.0000000000,1327.0000000000,q
4,8,1,gi|119209336|gb|DB659764.1|DB659764,NC_001143.9,100.0000,469,0,0,1,469,327496,327028,0.0000000000,902.0000000000,q
5,8,1,gi|119209335|gb|DB659766.1|DB659766,NC_001136.10,100.0000,629,0,0,1,629,1301582,1302210,0.0000000000,1210.0000000000,q
6,8,1,gi|119209334|gb|DB659763.1|DB659763,NC_001136.10,100.0000,302,0,0,1,302,221819,221518,0.0000000000,581.0000000000,q
7,8,1,gi|119209333|gb|DB659759.1|DB659759,NC_001145.3,100.0000,665,0,0,1,665,220103,220767,0.0000000000,1279.0000000000,q
8,8,1,gi|119209332|gb|DB659761.1|DB659761,NC_001135.5,99.8570,698,1,0,1,698,137698,138395,0.0000000000,1338.0000000000,q
9,8,1,gi|119209331|gb|DB659760.1|DB659760,NC_001148.4,100.0000,596,0,0,1,596,673682,674277,0.0000000000,1146.0000000000,q
10,8,1,gi|119209330|gb|DB659768.1|DB659768,NC_001133.9,100.0000,394,0,0,128,521,87501,87894,0.0000000000,758.0000000000,q
1,8,2,gi|119209343|gb|DB659769.1|DB659769,NC_001140.6,100.0000,179,0,0,394,572,210040,210218,0.0000000000,344.0000000000,q
4,8,2,gi|119209336|gb|DB659764.1|DB659764,NC_001143.9,100.0000,88,0,0,467,554,327029,326942,0.0000000000,169.0000000000,q
5,8,2,gi|119209335|gb|DB659766.1|DB659766,NC_001137.3,100.0000,83,0,0,347,429,52906,52824,0.0000000000,160.0000000000,q
9,8,2,gi|119209331|gb|DB659760.1|DB659760,NC_001148.4,100.0000,63,0,0,621,683,674300,674362,0.0000000000,121.0000000000,q
10,8,2,gi|119209330|gb|DB659768.1|DB659768,NC_001133.9,100.0000,128,0,0,1,128,87261,87388,0.0000000000,246.0000000000,q
1,8,3,gi|119209343|gb|DB659769.1|DB659769,NC_001140.6,97.2220,36,1,0,576,611,210222,210257,0.0000000001,66.1000000000,nq
4,8,3,gi|119209336|gb|DB659764.1|DB659764,NC_001143.9,96.6290,89,3,0,556,644,326941,326853,0.0000000000,160.0000000000,nq
5,8,3,gi|119209335|gb|DB659766.1|DB659766,NC_001137.3,100.0000,62,0,0,257,318,52996,52935,0.0000000000,119.0000000000,q
1,9,1,gi|119209343|gb|DB659769.1|DB659769,NC_001140.6,99.0550,635,6,0,1,635,209647,210281,0.0000000000,1188.0000000000,q
2,9,1,gi|119209340|gb|DB659771.1|DB659771,NC_001138.5,100.0000,283,0,0,23,305,223440,223158,0.0000000000,544.0000000000,q
3,9,1,gi|119209337|gb|DB659765.1|DB659765,NC_001144.5,100.0000,690,0,0,1,690,934244,933555,0.0000000000,1327.0000000000,q
4,9,1,gi|119209336|gb|DB659764.1|DB659764,NC_001143.9,100.0000,469,0,0,1,469,327496,327028,0.0000000000,902.0000000000,q
5,9,1,gi|119209335|gb|DB659766.1|DB659766,NC_001136.10,100.0000,629,0,0,1,629,1301582,1302210,0.0000000000,1210.0000000000,q
6,9,1,gi|119209334|gb|DB659763.1|DB659763,NC_001136.10,100.0000,302,0,0,1,302,221819,221518,0.0000000000,581.0000000000,q
7,9,1,gi|119209333|gb|DB659759.1|DB659759,NC_001145.3,100.0000,665,0,0,1,665,220103,220767,0.0000000000,1279.0000000000,q
8,9,1,gi|119209332|gb|DB659761.1|DB659761,NC_001135.5,99.8570,698,1,0,1,698,137698,138395,0.0000000000,1338.0000000000,q
9,9,1,gi|119209331|gb|DB659760.1|DB659760,NC_001148.4,100.0000,596,0,0,1,596,673682,674277,0.0000000000,1146.0000000000,q
10,9,1,gi|119209330|gb|DB659768.1|DB659768,NC_001133.9,100.0000,394,0,0,128,521,87501,87894,0.0000000000,758.0000000000,q
4,9,2,gi|119209336|gb|DB659764.1|DB659764,NC_001143.9,95.9020,122,5,0,556,677,326941,326820,0.0000000000,212.0000000000,nq
5,9,2,gi|119209335|gb|DB659766.1|DB659766,NC_001137.3,91.9030,494,40,0,35,528,53218,52725,0.0000000000,719.0000000000,nq
9,9,2,gi|119209331|gb|DB659760.1|DB659760,NC_001148.4,100.0000,63,0,0,621,683,674300,674362,0.0000000000,121.0000000000,q
10,9,2,gi|119209330|gb|DB659768.1|DB659768,NC_001133.9,100.0000,128,0,0,1,128,87261,87388,0.0000000000,246.0000000000,q
4,9,3,gi|119209336|gb|DB659764.1|DB659764,NC_001143.9,100.0000,88,0,0,467,554,327029,326942,0.0000000000,169.0000000000,q
1,10,1,gi|119209343|gb|DB659769.1|DB659769,NC_001140.6,99.0550,635,6,0,1,635,209647,210281,0.0000000000,1188.0000000000,q
2,10,1,gi|119209340|gb|DB659771.1|DB659771,NC_001138.5,100.0000,283,0,0,23,305,223440,223158,0.0000000000,544.0000000000,q
3,10,1,gi|119209337|gb|DB659765.1|DB659765,NC_001144.5,100.0000,690,0,0,1,690,934244,933555,0.0000000000,1327.0000000000,q
4,10,1,gi|119209336|gb|DB659764.1|DB659764,NC_001143.9,100.0000,469,0,0,1,469,327496,327028,0.0000000000,902.0000000000,q
5,10,1,gi|119209335|gb|DB659766.1|DB659766,NC_001136.10,100.0000,629,0,0,1,629,1301582,1302210,0.0000000000,1210.0000000000,q
6,10,1,gi|119209334|gb|DB659763.1|DB659763,NC_001136.10,100.0000,302,0,0,1,302,221819,221518,0.0000000000,581.0000000000,q
7,10,1,gi|119209333|gb|DB659759.1|DB659759,NC_001145.3,100.0000,665,0,0,1,665,220103,220767,0.0000000000,1279.0000000000,q
8,10,1,gi|119209332|gb|DB659761.1|DB659761,NC_001135.5,99.8570,698,1,0,1,698,137698,138395,0.0000000000,1338.0000000000,q
9,10,1,gi|119209331|gb|DB659760.1|DB659760,NC_001148.4,100.0000,596,0,0,1,596,673682,674277,0.0000000000,1146.0000000000,q
10,10,1,gi|119209330|gb|DB659768.1|DB659768,NC_001133.9,100.0000,394,0,0,128,521,87501,87894,0.0000000000,758.0000000000,q
4,10,2,gi|119209336|gb|DB659764.1|DB659764,NC_001143.9,95.9020,122,5,0,556,677,326941,326820,0.0000000000,212.0000000000,nq
5,10,2,gi|119209335|gb|DB659766.1|DB659766,NC_001137.3,91.9030,494,40,0,35,528,53218,52725,0.0000000000,719.0000000000,nq
9,10,2,gi|119209331|gb|DB659760.1|DB659760,NC_001148.4,100.0000,63,0,0,621,683,674300,674362,0.0000000000,121.0000000000,q
10,10,2,gi|119209330|gb|DB659768.1|DB659768,NC_001133.9,100.0000,128,0,0,1,128,87261,87388,0.0000000000,246.0000000000,q
4,10,3,gi|119209336|gb|DB659764.1|DB659764,NC_001143.9,100.0000,88,0,0,467,554,327029,326942,0.0000000000,169.0000000000,q
1,11,1,gi|119209343|gb|DB659769.1|DB659769,NC_001140.6,99.0550,635,6,0,1,635,209647,210281,0.0000000000,1188.0000000000,q
2,11,1,gi|119209340|gb|DB659771.1|DB659771,NC_001138.5,100.0000,283,0,0,23,305,223440,223158,0.0000000000,544.0000000000,q
3,11,1,gi|119209337|gb|DB659765.1|DB659765,NC_001144.5,100.0000,690,0,0,1,690,934244,933555,0.0000000000,1327.0000000000,q
4,11,1,gi|119209336|gb|DB659764.1|DB659764,NC_001143.9,100.0000,469,0,0,1,469,327496,327028,0.0000000000,902.0000000000,q
5,11,1,gi|119209335|gb|DB659766.1|DB659766,NC_001136.10,100.0000,629,0,0,1,629,1301582,1302210,0.0000000000,1210.0000000000,q
6,11,1,gi|119209334|gb|DB659763.1|DB659763,NC_001136.10,100.0000,302,0,0,1,302,221819,221518,0.0000000000,581.0000000000,q
7,11,1,gi|119209333|gb|DB659759.1|DB659759,NC_001145.3,100.0000,665,0,0,1,665,220103,220767,0.0000000000,1279.0000000000,q
8,11,1,gi|119209332|gb|DB659761.1|DB659761,NC_001135.5,99.8570,698,1,0,1,698,137698,138395,0.0000000000,1338.0000000000,q
9,11,1,gi|119209331|gb|DB659760.1|DB659760,NC_001148.4,100.0000,596,0,0,1,596,673682,674277,0.0000000000,1146.0000000000,q
10,11,1,gi|119209330|gb|DB659768.1|DB659768,NC_001133.9,100.0000,394,0,0,128,521,87501,87894,0.0000000000,758.0000000000,q
4,11,2,gi|119209336|gb|DB659764.1|DB659764,NC_001143.9,95.9020,122,5,0,556,677,326941,326820,0.0000000000,212.0000000000,nq
5,11,2,gi|119209335|gb|DB659766.1|DB659766,NC_001137.3,91.9030,494,40,0,35,528,53218,52725,0.0000000000,719.0000000000,nq
9,11,2,gi|119209331|gb|DB659760.1|DB659760,NC_001148.4,100.0000,63,0,0,621,683,674300,674362,0.0000000000,121.0000000000,q
10,11,2,gi|119209330|gb|DB659768.1|DB659768,NC_001133.9,100.0000,128,0,0,1,128,87261,87388,0.0000000000,246.0000000000,q
4,11,3,gi|119209336|gb|DB659764.1|DB659764,NC_001143.9,100.0000,88,0,0,467,554,327029,326942,0.0000000000,169.0000000000,q
1,12,1,gi|119209343|gb|DB659769.1|DB659769,NC_001140.6,100.0000,392,0,0,1,392,209647,210038,0.0000000000,754.0000000000,q
2,12,1,gi|119209340|gb|DB659771.1|DB659771,NC_001138.5,100.0000,283,0,0,23,305,223440,223158,0.0000000000,544.0000000000,q
3,12,1,gi|119209337|gb|DB659765.1|DB659765,NC_001144.5,100.0000,690,0,0,1,690,934244,933555,0.0000000000,1327.0000000000,q
4,12,1,gi|119209336|gb|DB659764.1|DB659764,NC_001143.9,100.0000,469,0,0,1,469,327496,327028,0.0000000000,902.0000000000,q
5,12,1,gi|119209335|gb|DB659766.1|DB659766,NC_001136.10,100.0000,629,0,0,1,629,1301582,1302210,0.0000000000,1210.0000000000,q
6,12,1,gi|119209334|gb|DB659763.1|DB659763,NC_001136.10,100.0000,302,0,0,1,302,221819,221518,0.0000000000,581.0000000000,q
7,12,1,gi|119209333|gb|DB659759.1|DB659759,NC_001145.3,100.0000,665,0,0,1,665,220103,220767,0.0000000000,1279.0000000000,q
8,12,1,gi|119209332|gb|DB659761.1|DB659761,NC_001135.5,99.8570,698,1,0,1,698,137698,138395,0.0000000000,1338.0000000000,q
9,12,1,gi|119209331|gb|DB659760.1|DB659760,NC_001148.4,100.0000,596,0,0,1,596,673682,674277,0.0000000000,1146.0000000000,q
10,12,1,gi|119209330|gb|DB659768.1|DB659768,NC_001133.9,100.0000,394,0,0,128,521,87501,87894,0.0000000000,758.0000000000,q
1,12,2,gi|119209343|gb|DB659769.1|DB659769,NC_001140.6,100.0000,179,0,0,394,572,210040,210218,0.0000000000,344.0000000000,q
